Cantón,Nombre del Distrito,,,,
Limón,Limón,,,,
Limón,Valle La Estrella,,,,
Limón,Río Blanco,,,,
Limón,Matama,,,,
Pococí,Guápiles,,,,
Pococí,Jiménez,,,,
Pococí,La Rita,,,,
Pococí,Roxana,,,,
Pococí,Cariari,,,,
Pococí,Colorado,,,,
Pococí,La Colonia,,,,
Siquirres,Siquirres,,,,
Siquirres,Pacuarito,,,,
Siquirres,Florida,,,,
Siquirres,Germania,,,,
Siquirres,El Cairo,,,,
Siquirres,Alegría,,,,
Siquirres,Reventazón,,,,
Talamanca,Bratsi,,,,
Talamanca,Sixaola,,,,
Talamanca,Cahuita,,,,
Talamanca,Telire,,,,
Matina,Matina,,,,
Matina,Batán,,,,
Matina,Carrandi,,,,
Guácimo,Guácimo,,,,
Guácimo,Mercedes,,,,
Guácimo,Pocora,,,,
Guácimo,Río Jiménez,,,,
Guácimo,Duacarí,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
