Cantón,Nombre del Distrito
Alajuela,Alajuela
Alajuela,San José
Alajuela,Carrizal
Alajuela,San Antonio
Alajuela,Guácima
Alajuela,San Isidro
Alajuela,Sabanilla
Alajuela,San Rafael
Alajuela,Río Segundo
Alajuela,Desamparados
Alajuela,Turrúcares
Alajuela,Tambor
Alajuela,La Garita
Alajuela,Sarapiquí
San Ramón,San Ramón
San Ramón,Santiago
San Ramón,San Juan
San Ramón,Piedades Norte
San Ramón,Piedades Sur
San Ramón,San Rafael
San Ramón,San Isidro
San Ramón,Ángeles
San Ramón,Alfaro
San Ramón,Volio
San Ramón,Concepción
San Ramón,Zapotal
San Ramón,Peñas Blancas
San Ramón,San Lorenzo4​
Grecia,Grecia
Grecia,San Isidro
Grecia,San José
Grecia,San Roque
Grecia,Tacares
Grecia,Puente de Piedra
Grecia,Bolívar
San Mateo,San Mateo
San Mateo,Desmonte
San Mateo,Jesús María
San Mateo,Labrador
Atenas,Atenas
Atenas,Jesús
Atenas,Mercedes
Atenas,San Isidro
Atenas,Concepción
Atenas,San José
Atenas,Santa Eulalia
Atenas,Escobal
Naranjo,Naranjo
Naranjo,San Miguel
Naranjo,San José
Naranjo,Cirrí Sur
Naranjo,San Jerónimo
Naranjo,San Juan
Naranjo,El Rosario
Naranjo,Palmitos
Palmares,Palmares
Palmares,Zaragoza
Palmares,Buenos Aires
Palmares,Santiago
Palmares,Candelaria
Palmares,Esquipulas
Palmares,La Granja
Poás,San Pedro
Poás,San Juan
Poás,San Rafael
Poás,Carrillos
Poás,Sabana Redonda
Orotina,Orotina
Orotina,El Mastate
Orotina,Hacienda Vieja
Orotina,Coyolar
Orotina,La Ceiba
San Carlos,Quesada
San Carlos,Florencia
San Carlos,Buenavista
San Carlos,Aguas Zarcas
San Carlos,Venecia
San Carlos,Pital
San Carlos,La Fortuna
San Carlos,La Tigra
San Carlos,La Palmera
San Carlos,Venado
San Carlos,Cutris
San Carlos,Monterrey
San Carlos,Pocosol
Zarcero,Zarcero
Zarcero,Laguna
Zarcero,Tapesco
Zarcero,Guadalupe
Zarcero,Palmira
Zarcero,Zapote
Zarcero,Brisas
Sarchí,Sarchí Norte
Sarchí,Sarchí Sur
Sarchí,Toro Amarillo
Sarchí,San Pedro
Sarchí,Rodríguez
Upala,Upala
Upala,Aguas Claras
Upala,San José (Pizote)
Upala,Bijagua
Upala,Delicias
Upala,Dos Ríos
Upala,Yolillal
Upala,Canalete
Los Chiles,Los Chiles
Los Chiles,Caño Negro
Los Chiles,El Amparo
Los Chiles,San Jorge
Guatuso,San Rafael
Guatuso,Buenavista
Guatuso,Cote
Guatuso,Katira
Río Cuarto,Río Cuarto
Río Cuarto,Santa Isabel
Río Cuarto,Santa Rita
