Cantón,Distrito
Cartago,Oriental
Cartago,Occidental
Cartago,Carmen
Cartago,San Nicolás
Cartago,Agua Caliente
Cartago,Guadalupe
Cartago,Corralillo
Cartago,Tierra Blanca
Cartago,Dulce Nombre
Cartago,Llano Grande
Cartago,Quebradilla
Paraíso,Paraíso
Paraíso,Santiago
Paraíso,Orosi
Paraíso,Cachí
Paraíso,Llanos de Santa Lucía
La Unión,Tres Ríos
La Unión,San Diego
La Unión,San Juan
La Unión,San Rafael
La Unión,Concepción
La Unión,Dulce Nombre
La Unión,San Ramón
La Unión,Río Azul
Jiménez,Juan Viñas
Jiménez,Tucurrique
Jiménez,Pejibaye
Turrialba,Turrialba
Turrialba,La Suiza
Turrialba,Peralta
Turrialba,Santa Cruz
Turrialba,Santa Teresita
Turrialba,Pavones
Turrialba,Tuis
Turrialba,Tayutic
Turrialba,Santa Rosa
Turrialba,Tres Equis
Turrialba,La Isabel
Turrialba,Chirripó
Alvarado,Pacayas
Alvarado,Cervantes
Alvarado,Capellades
Oreamuno,San Rafael
Oreamuno,Cot
Oreamuno,Potrero Cerrado
Oreamuno,Cipreses
Oreamuno,Santa Rosa
El Guarco,El Tejar
El Guarco,San Isidro
El Guarco,Tobosi
El Guarco,Patio de Agua
