Cantón,Nombre del Distrito
Liberia,Liberia
Liberia,Cañas Dulces
Liberia,Mayorga
Liberia,Nacascolo
Liberia,Curubandé
Nicoya,Nicoya
Nicoya,Mansión
Nicoya,San Antonio
Nicoya,Quebrada Honda
Nicoya,Sámara
Nicoya,Nosara
Nicoya,Belén de Nosarita
Santa Cruz,Santa Cruz
Santa Cruz,Bolsón
Santa Cruz,Veintisiete de Abril
Santa Cruz,Tempate
Santa Cruz,Cartagena
Santa Cruz,Cuajiniquil
Santa Cruz,Diriá
Santa Cruz,Cabo Velas
Santa Cruz,Tamarindo
Bagaces,Bagaces
Bagaces,La Fortuna
Bagaces,Mogote
Bagaces,Río Naranjo
Carrillo,Filadelfia
Carrillo,Palmira
Carrillo,Sardinal
Carrillo,Belén
Cañas,Cañas
Cañas,Palmira
Cañas,San Miguel
Cañas,Bebedero
Cañas,Porozal
Abangares,Las Juntas
Abangares,Sierra
Abangares,San Juan
Abangares,Colorado
Tilarán,Tilarán
Tilarán,Quebrada Grande
Tilarán,Tronadora
Tilarán,Santa Rosa
Tilarán,Líbano
Tilarán,Tierras Morenas
Tilarán,Arenal
Tilarán,Cabeceras
Nandayure,Carmona
Nandayure,Santa Rita
Nandayure,Zapotal
Nandayure,San Pablo
Nandayure,Porvenir
Nandayure,Bejuco
La Cruz,La Cruz
La Cruz,Santa Cecilia
La Cruz,La Garita
La Cruz,Santa Elena
Hojancha,Hojancha
Hojancha,Monte Romo
Hojancha,Puerto Carrillo
Hojancha,Huacas
Hojancha,Matambú
