Cantón,Nombre del Distrito
Heredia,Heredia
Heredia,Mercedes
Heredia,San Francisco
Heredia,Ulloa
Heredia,Varablanca
Barva,Barva
Barva,San Pedro
Barva,San Pablo
Barva,San Roque
Barva,Santa Lucía
Barva,San José de la Montaña
Santo Domingo,Santo Domingo
Santo Domingo,San Vicente
Santo Domingo,San Miguel
Santo Domingo,Paracito
Santo Domingo,Santo Tomás
Santo Domingo,Santa Rosa
Santo Domingo,Tures
Santo Domingo,Pará
Santa Bárbara,Santa Bárbara
Santa Bárbara,San Pedro
Santa Bárbara,San Juan
Santa Bárbara,Jesús
Santa Bárbara,Santo Domingo
Santa Bárbara,Purabá
San Rafael,San Rafael
San Rafael,San Josecito
San Rafael,Santiago
San Rafael,Ángeles
San Rafael,Concepción
San Isidro,San Isidro
San Isidro,San José
San Isidro,Concepción
San Isidro,San Francisco
Belén,San Antonio
Belén,La Ribera
Belén,La Asunción
Flores,San Joaquín
Flores,Barrantes
Flores,Llorente
San Pablo,San Pablo
San Pablo,Rincón de Sabanilla
Sarapiquí,Puerto Viejo
Sarapiquí,La Virgen
Sarapiquí,Horquetas
Sarapiquí,Llanuras del Gaspar
Sarapiquí,Cureña
