Cantón,Nombre del Distrito
Puntarenas,Puntarenas
Puntarenas,Pitahaya
Puntarenas,Chomes
Puntarenas,Lepanto
Puntarenas,Paquera
Puntarenas,Manzanillo
Puntarenas,Guacimal
Puntarenas,Barranca
Puntarenas,Monte Verde
Puntarenas,Isla del Coco
Puntarenas,Cóbano
Puntarenas,Chacarita
Puntarenas,Chira
Puntarenas,Acapulco
Puntarenas,El Roble
Puntarenas,Arancibia
Esparza,Espíritu Santo
Esparza,San Juan Grande
Esparza,Macacona
Esparza,San Rafael
Esparza,San Jerónimo
Esparza,Caldera
Buenos Aires,Buenos Aires
Buenos Aires,Volcán
Buenos Aires,Potrero Grande
Buenos Aires,Boruca
Buenos Aires,Pilas
Buenos Aires,Colinas
Buenos Aires,Chánguena
Buenos Aires,Biolley
Buenos Aires,Brunka
Montes de Oro,Miramar
Montes de Oro,La Unión
Montes de Oro,San Isidro
Osa,Puerto Cortés
Osa,Palmar
Osa,Sierpe
Osa,Bahía Ballena
Osa,Piedras Blancas
Osa,Bahía Drake
Quepos,Quepos
Quepos,Savegre
Quepos,Naranjito
Golfito,Golfito
Golfito,Puerto Jiménez
Golfito,Guaycará
Golfito,Pavón
Coto Brus,San Vito
Coto Brus,Sabalito
Coto Brus,Aguabuena
Coto Brus,Limoncito
Coto Brus,Pittier
Coto Brus,Gutiérrez Braun
Parrita,Parrita
Corredores,Corredor
Corredores,La Cuesta
Corredores,Canoas
Corredores,Laurel
Garabito,Jacó
Garabito,Tárcoles
